chunk_14_gold,sentence,chunk_15,chunk_14,chunk_16,chunk_11,chunk_10,chunk_13,chunk_12,_created_at,answer_chunk_05_gold,orig__golden,answer_chunk_15_gold,_country,_tainted,frame,_started_at,_trust,chunk_02_gold,answer_chunk_06_gold,chunk_06_gold,chunk_05_gold,answer_chunk_11_gold,chunk_03_gold,answer_chunk_07_gold,chunk_13_gold,answer_chunk_01_gold,_city,chunk_15_gold,answer_chunk_16,answer_chunk_15,answer_chunk_14,answer_chunk_13,answer_chunk_12,answer_chunk_11,answer_chunk_10,answer_chunk_02_gold,chunk_12_gold,_unit_id,answer_chunk_08_gold,answer_chunk_08,answer_chunk_09,answer_chunk_04,answer_chunk_05,answer_chunk_06,answer_chunk_07,answer_chunk_00,answer_chunk_01,answer_chunk_02,answer_chunk_03,_region,lu,_worker_id,fe_06,fe_05,fe_04,fe_03,fe_02,fe_01,fe_00,_channel,chunk_09_gold,answer_chunk_16_gold,answer_chunk_14_gold,chunk_04_gold,answer_chunk_13_gold,answer_chunk_12_gold,answer_chunk_10_gold,_missed,answer_chunk_04_gold,chunk_01_gold,chunk_00_gold,id,_golden,chunk_07_gold,chunk_08,chunk_09,chunk_08_gold,chunk_02,chunk_03,chunk_00,chunk_01,chunk_06,chunk_07,chunk_04,chunk_05,answer_chunk_00_gold,answer_chunk_03_gold,chunk_10_gold,chunk_16_gold,_ip,chunk_11_gold,_id,answer_chunk_09_gold
,"However, Alma-Tadema's work went completely out of favour after his death, and his reputation did not revive until the 1970s.",,,,,,,,5/19/2016 10:32:47,,,,GBR,false,Motion,5/19/2016 10:25:05,0.625,,,,,,,,,,York,,,,,,,,,,,954124578,,,,,,,,None,None,None,None,Q5,go,37336417,,,Purpose,Provenance,Destination,Cause,Path,getpaid,,,,,,,,,,,,240,false,,,,,death,reputation,Alma-Tadema,work,,,,,,,,,81.102.132.50,,1992356007,
,"However, Alma-Tadema's work went completely out of favour after his death, and his reputation did not revive until the 1970s.",,,,,,,,5/19/2016 12:10:50,,,,CAN,false,Motion,5/19/2016 12:09:31,0.6216,,,,,,,,,,Dartmouth,,,,,,,,,,,954124578,,,,,,,,None,Purpose,None,None,NS,go,37336603,,,Purpose,Provenance,Destination,Cause,Path,prizerebel,,,,,,,,,,,,240,false,,,,,death,reputation,Alma-Tadema,work,,,,,,,,,142.177.156.75,,1992437194,
,"However, Alma-Tadema's work went completely out of favour after his death, and his reputation did not revive until the 1970s.",,,,,,,,5/19/2016 13:39:19,,,,IRL,false,Motion,5/19/2016 13:37:33,0.5536,,,,,,,,,,,,,,,,,,,,,954124578,,,,,,,,None,None,None,None,,go,9234773,,,Purpose,Provenance,Destination,Cause,Path,clixsense,,,,,,,,,,,,240,false,,,,,death,reputation,Alma-Tadema,work,,,,,,,,,213.233.147.88,,1992507257,
,Arikha also wrote on art and has organized exhibitions at the Houston Museum of Fine Arts on the work of Poussin (1982) and Ingres (1986).,,,,,,,,5/19/2016 10:25:03,,,,GBR,false,Text creation,5/19/2016 10:20:33,0.625,,,,,,,,,,York,,,,,,,,,,,954124584,,,,None,,,,None,None,None,None,Q5,write,37336417,Co-author,Purpose,Addressee,Reason,Author,Written work,Main topic,getpaid,,,,,,,,,,,,282,false,,,,,work,Poussin,exhibitions,Houston Museum of Fine Arts,,,Ingres,,,,,,81.102.132.50,,1992349565,
,Arikha also wrote on art and has organized exhibitions at the Houston Museum of Fine Arts on the work of Poussin (1982) and Ingres (1986).,,,,,,,,5/19/2016 12:09:30,,,,CAN,false,Text creation,5/19/2016 12:08:00,0.6216,,,,,,,,,,Dartmouth,,,,,,,,,,,954124584,,,,Main topic,,,,Reason,Purpose,Reason,Main topic,NS,write,37336603,Co-author,Purpose,Addressee,Reason,Author,Written work,Main topic,prizerebel,,,,,,,,,,,,282,false,,,,,work,Poussin,exhibitions,Houston Museum of Fine Arts,,,Ingres,,,,,,142.177.156.75,,1992436120,
,Arikha also wrote on art and has organized exhibitions at the Houston Museum of Fine Arts on the work of Poussin (1982) and Ingres (1986).,,,,,,,,5/19/2016 13:37:15,,,,IRL,false,Text creation,5/19/2016 13:28:48,0.5536,,,,,,,,,,,,,,,,,,,,,954124584,,,,Main topic,,,,None,None,Written work,Main topic,,write,9234773,Co-author,Purpose,Addressee,Reason,Author,Written work,Main topic,clixsense,,,,,,,,,,,,282,false,,,,,work,Poussin,exhibitions,Houston Museum of Fine Arts,,,Ingres,,,,,,213.233.147.88,,1992505309,
,"He studied architecture, and initially went to Mexico after graduating in 1986 in order to assist in reconstruction after the earthquake of the previous year.",,,,,,,,5/19/2016 10:53:44,,,,GBR,false,Motion,5/19/2016 10:42:04,0.625,,,,,,,,,,York,,,,,,,,,,,954124587,,,,,,,,None,Destination,Purpose,None,Q5,go,37336417,,,Purpose,Provenance,Destination,Cause,Path,getpaid,,,,,,,,,,,,320,false,,,,,reconstruction,earthquake,architecture,Mexico,,,,,,,,,81.102.132.50,,1992375307,
,"He studied architecture, and initially went to Mexico after graduating in 1986 in order to assist in reconstruction after the earthquake of the previous year.",,,,,,,,5/19/2016 12:15:33,,,,CAN,false,Motion,5/19/2016 12:11:11,0.6216,,,,,,,,,,Dartmouth,,,,,,,,,,,954124587,,,,,,,,None,Path,Purpose,None,NS,go,37336603,,,Purpose,Provenance,Destination,Cause,Path,prizerebel,,,,,,,,,,,,320,false,,,,,reconstruction,earthquake,architecture,Mexico,,,,,,,,,142.177.156.75,,1992440808,
,"He studied architecture, and initially went to Mexico after graduating in 1986 in order to assist in reconstruction after the earthquake of the previous year.",,,,,,,,5/19/2016 13:48:04,,,,IRL,false,Motion,5/19/2016 13:42:56,0.5536,,,,,,,,,,,,,,,,,,,,,954124587,,,,,,,,None,Destination,Purpose,None,,go,9234773,,,Purpose,Provenance,Destination,Cause,Path,clixsense,,,,,,,,,,,,320,false,,,,,reconstruction,earthquake,architecture,Mexico,,,,,,,,,213.233.147.88,,1992516744,
,He was playing on the architectural associations of big abstracts.,,,,,,,,5/17/2016 10:24:52,,,,CAN,false,Players and roles,5/17/2016 10:21:36,0.5385,,,,,,,,,,Windsor,,,,,,,,,,,954124593,,,,,,,,None,None,None,,ON,play,4316379,,,,Co-player,Audience,Player,Performance,prodege,,,,,,,,,,,,426,false,,,,,abstracts,,architectural,big,,,,,,,,,198.91.218.68,,1989438181,
,He was playing on the architectural associations of big abstracts.,,,,,,,,5/17/2016 13:18:57,,,,GBR,false,Players and roles,5/17/2016 13:16:59,0.4,,,,,,,,,,,,,,,,,,,,,954124593,,,,,,,,None,None,None,,,play,18960682,,,,Co-player,Audience,Player,Performance,instagc,,,,,,,,,,,,426,false,,,,,abstracts,,architectural,big,,,,,,,,,79.75.168.118,,1989602852,
,He was playing on the architectural associations of big abstracts.,,,,,,,,5/17/2016 14:49:27,,,,ITA,false,Players and roles,5/17/2016 14:45:43,0.6154,,,,,,,,,,Milan,,,,,,,,,,,954124593,,,,,,,,None,None,Performance,,09,play,37761577,,,,Co-player,Audience,Player,Performance,cf_internal,,,,,,,,,,,,426,false,,,,,abstracts,,architectural,big,,,,,,,,,213.140.19.11,,1989688863,
,He came to attention in the 1970s with *installations in which mirrors and projections create an eerie disruption of the sense of space.,,,,,,,,5/19/2016 21:45:51,,,,USA,false,Creating,5/19/2016 21:36:23,0.5577,,,,,,,,,,Reston,,,,,,,,,,,954124599,,,,None,None,,,None,Material used,Material used,None,VA,create,36340274,,,Creator,Co-creator,Cause,Created,Material used,neodev,,,,,,,,,,,,449,false,,,,,projections,disruption,installations,mirrors,,,sense,space,,,,,69.255.41.140,,1993011867,
